UF,MUNICIPIO_NORM,LEITOS_SUS,POPULAÇÃO ESTIMADA,LEITOS_TOTAL_PER_THOUSAND
PB,belem do brejo do cruz,28,6272.0,4.464285714285714
PR,urai,46,10308.0,4.46255335661622
PE,recife,7079,1588376.0,4.45675331281762
RO,cacoal,438,98280.0,4.456654456654457
MA,nova olinda do maranhao,64,14379.0,4.450935391890953
SC,ibirama,93,20900.0,4.44976076555024
TO,miracema do tocantins,83,18679.0,4.443492692328284
SC,arabuta,20,4505.0,4.439511653718091
PR,inaja,11,2481.0,4.433696090286175
GO,aracu,17,3840.0,4.427083333333333
MA,satubinha,39,8821.0,4.421267429996599
MG,jacinto,49,11115.0,4.408457040035988
MG,poco fundo,74,16824.0,4.3984783642415595
PR,marumbi,21,4780.0,4.393305439330544
GO,ipameri,115,26223.0,4.385463143042367
AP,amapa,37,8440.0,4.383886255924171
RS,seberi,54,12325.0,4.381338742393509
TO,cristalandia,28,6392.0,4.380475594493117
MG,sao joao do manteninha,24,5479.0,4.380361379813835
BA,planaltino,36,8239.0,4.369462313387547
PI,floriano,281,64393.0,4.363828366437346
BA,wagner,43,9866.0,4.358402594769918
TO,pindorama do tocantins,20,4599.0,4.348771472059143
PR,bom sucesso,29,6674.0,4.3452202577165115
RS,aurea,15,3458.0,4.3377674956622325
RS,rondinha,22,5078.0,4.332414336352895
CE,aurora,105,24244.0,4.330968487048342
RS,planalto,46,10624.0,4.329819277108434
CE,sobral,937,216519.0,4.327564786462158
MG,jeceaba,28,6476.0,4.323656578134651
GO,mossamedes,20,4626.0,4.32338953739732
RS,sao miguel das missoes,31,7193.0,4.309745585986376
SC,sombrio,136,31722.0,4.287245444801715
SP,americo brasiliense,144,33708.0,4.271982912068352
SC,morro da fumaca,83,19490.0,4.258594150846588
SC,agua doce,28,6587.0,4.2507970244420825
PE,tuparetama,35,8261.0,4.236775208812492
GO,apore,19,4488.0,4.233511586452763
PR,pien,61,14409.0,4.233465195364008
RS,paraiso do sul,28,6627.0,4.225139580503999
PE,cortes,44,10426.0,4.220218684059083
SP,galia,27,6413.0,4.210198035240917
RS,santana da boa vista,30,7128.0,4.2087542087542085
PB,serraria,20,4754.0,4.206983592763988
RS,sao paulo das missoes,25,5943.0,4.2066296483257615
RS,pejucara,16,3817.0,4.191773644223212
MT,jauru,33,7881.0,4.1872858774267225
BA,sapeacu,78,18656.0,4.180960548885078
SC,salete,32,7656.0,4.179728317659353
GO,santa fe de goias,21,5047.0,4.160887656033287
SC,urubici,46,11064.0,4.1576283441793205
RO,guajara-mirim,181,43594.0,4.1519475157131716
PR,jundiai do sul,14,3372.0,4.151838671411625
RN,taboleiro grande,10,2409.0,4.151100041511
MG,berilo,40,9638.0,4.150238638721726
RN,rodolfo fernandes,18,4345.0,4.142692750287687
GO,britania,24,5798.0,4.139358399448086
PI,porto,51,12323.0,4.1386026130000815
ES,vitoria,1419,343378.0,4.132472086155782
SP,alto alegre,16,3874.0,4.130098089829634
SP,rosana,72,17434.0,4.129861190776643
ES,jeronimo monteiro,50,12108.0,4.129501156260324
AL,arapiraca,1007,243906.0,4.128639721860061
PI,paulistana,89,21633.0,4.114084962788333
RS,anta gorda,25,6080.0,4.1118421052631575
BA,pojuca,138,33573.0,4.110445894021982
PB,serra branca,58,14131.0,4.104451206567123
SP,barretos,521,126957.0,4.103751663949211
SC,armazem,38,9289.0,4.090860157175153
SC,guaruja do sul,20,4893.0,4.087471898630698
MG,carrancas,17,4161.0,4.0855563566450375
GO,paranaiguara,30,7356.0,4.078303425774878
PR,colorado,95,23313.0,4.074979625101874
PR,sertaneja,23,5654.0,4.067916519278387
CE,jati,33,8114.0,4.0670446142469805
MT,rio branco,18,4440.0,4.054054054054054
TO,alvorada,37,9128.0,4.0534618755477645
RJ,cantagalo,81,19995.0,4.051012753188297
PR,pinhalao,27,6676.0,4.044337926902337
PR,santo antonio do caiua,10,2474.0,4.042037186742118
SP,botucatu,610,151053.0,4.038317676577095
MG,virginia,37,9164.0,4.037538192928852
SC,palma sola,31,7696.0,4.028066528066528
RO,monte negro,49,12168.0,4.026955950032873
MT,ribeiraozinho,11,2733.0,4.02488108305891
TO,itacaja,28,6959.0,4.023566604397184
PB,campina grande,1782,443911.0,4.014318185402029
PR,arapongas,501,124838.0,4.013201108636793
GO,avelinopolis,12,2993.0,4.009355162044771
RJ,valenca,286,71449.0,4.002855183417543
RO,ouro preto do oeste,154,38684.0,3.9809740461172574
SP,adamantina,142,35673.0,3.9806015754211868
MT,novo horizonte do norte,13,3267.0,3.9791857973676152
RS,nonoai,56,14074.0,3.9789683103595284
SC,jacinto machado,43,10818.0,3.9748567202810134
GO,palmelo,9,2266.0,3.9717563989408644
PR,ribeirao claro,51,12856.0,3.9670192906036092
SC,rio fortuna,20,5044.0,3.9651070578905627
MG,cachoeira de pajeu,37,9347.0,3.958489354873221
RJ,laje do muriae,30,7584.0,3.9556962025316458
BA,santa ines,42,10625.0,3.952941176470588
MG,dom joaquim,20,5074.0,3.941663381947182
GO,aparecida do rio doce,12,3045.0,3.940886699507389
RS,parai,29,7362.0,3.9391469709318114
MG,santa rita de jacutinga,19,4826.0,3.937007874015748
RN,santana do serido,11,2796.0,3.9341917024320456
SC,nova veneza,55,14004.0,3.9274493001999424
MG,mendes pimentel,22,5614.0,3.918774492340577
PR,lunardelli,19,4864.0,3.90625
BA,paramirim,82,21025.0,3.900118906064209
RS,jaguari,42,10771.0,3.8993593909572
RS,tucunduva,22,5646.0,3.896563939071909
MG,ponte nova,232,59638.0,3.890137160870586
GO,cachoeira alta,46,11854.0,3.880546650919521
PR,ribeirao do pinhal,51,13158.0,3.875968992248062
RS,santo augusto,55,14196.0,3.874330797407721
CE,quixeramobim,334,86431.0,3.864354224757321
SP,campos do jordao,185,47956.0,3.8577028943197935
PI,marcolandia,34,8822.0,3.854001360235774
MG,cruzilia,61,15831.0,3.8531994188617267
RJ,trajano de moraes,41,10654.0,3.8483198798573306
CE,jaguaribara,41,10668.0,3.8432695913010875
MA,pedreiras,147,38252.0,3.8429363170553175
MG,pouso alto,26,6779.0,3.8353739489600236
PR,lindoeste,20,5217.0,3.833620854897451
SP,caconde,66,17228.0,3.8309728349198977
MT,salto do ceu,14,3657.0,3.8282745419742956
RS,condor,25,6538.0,3.823799327011318
GO,turvania,17,4449.0,3.8210833895257363
